date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
2/1/2001,-3.52,0.3,2.19,1.52,1.6,0.026,-1.25,1.58,2.16,0.015911472
3/1/2001,5.39,-0.41,-5.12,-1.42,-5.9,0.026,-7.26,6.97,-5.05,0
4/1/2001,-1.3,0.91,-0.28,0.58,-0.8,0.026,-4.15,-0.42,-0.62,0
5/1/2001,-2.98,0.72,2.51,1.52,2.32,0.026,0.67,-0.33,1.9,-0.001545136
8/1/2001,-0.36,-0.41,1.34,0.74,0.66,0.026,0.15,-0.89,1.49,0.00221683
9/1/2001,0.51,0.25,-0.3,-0.7,-0.52,0.026,-1.56,1.02,0.44,-0.000847299
10/1/2001,1.44,0.56,-1.53,-1.48,-1,0.026,-1.16,0.73,-0.48,0.003926428
11/1/2001,1.39,0.89,-3.25,-1.76,-1.96,0.026,-2.87,2.42,-2.2,-0.009810246
12/1/2001,-0.4,1.16,-0.23,-1.42,-0.08,0.026,-1.1,1.44,0.2,0.001643245
16/01/2001,0.68,1.38,-0.47,0.13,0.49,0.026,0.07,0.86,0.61,0.002021303
17/01/2001,0.37,-0.24,-0.76,-0.89,-1.23,0.026,-1.84,1.27,-1.21,0.002485999
18/01/2001,1.16,-0.56,-1.01,-0.31,-1.14,0.026,-2.03,0.96,-1.46,0.003410083
19/01/2001,-0.55,-0.21,0,-0.25,-0.58,0.026,-1.16,-0.78,-0.15,0.002317117
22/01/2001,-0.01,0.09,0.83,0.35,0.91,0.026,1.13,1.5,1.17,0.006038983
23/01/2001,1.57,0.29,-0.59,-0.96,-0.45,0.026,-0.34,0.11,-0.49,0.001097246
24/01/2001,0.34,-0.41,-0.28,-0.79,-0.65,0.026,-1.06,-0.34,-0.49,0.00226523
25/01/2001,-0.81,-0.05,1.72,1.41,1.71,0.026,2.4,2.96,1.11,0.001169756
26/01/2001,-0.11,0.3,-0.35,0.17,-0.25,0.026,0.12,0.02,-0.19,0.001202412
29/01/2001,0.9,0.64,-0.36,-0.64,-0.78,0.026,-1.57,-1.31,-0.11,-0.002142586
